9031_GENEID,9606_GENEID
395497,526
420259,528
418162,529
418508,539
427269,549
100859755,575
426163,576
421875,577
100857890,9275
416371,635
422035,640
419784,643
420868,654
396407,7006
378927,680
770363,682
448833,685
420061,696
418295,715
418294,716
396255,794
428425,799
395808,819
416288,821
395963,824
423086,833
373996,857
396341,595
416749,899
417541,908
768858,914
422827,952
418408,961
771849,978
420741,989
420375,993
374068,1003
415797,1009
771294,1022
427391,1036
395800,1054
100113359,1058
419014,1075
421312,1114
395722,1191
771102,1208
427284,1211
428315,1236
428232,1269
418752,1284
396000,1291
396292,1292
771873,1297
430477,1307
417268,1317
428659,790
423118,1374
427214,1393
396475,1404
373998,1413
374000,1414
427008,1428
374135,1490
424716,1491
416184,1495
395964,1499
395374,1629
395775,1638
374050,1642
693255,1647
420481,143098
423357,1743
768904,1805
427946,1822
428529,1829
395654,1839
769430,1874
420206,1875
421943,1876
420854,1906
419559,1907
373908,1909
395723,1933
396100,1946
408035,1950
422950,1961
424877,1962
395232,1974
396545,56648
419832,2005
776542,2039
427805,2125
c(100859345, 428434),2128
395717,2140
427212,2149
429084,2152
424355,2165
427583,2199
374203,2201
100858751,2208
417298,2219
425061,2224
396413,2247
428857,2249
378917,2254
395353,2287
374231,2308
395814,2331
422395,2332
396133,2335
427299,2339
100857683,2342
428092,2526
422456,2549
418478,2551
427955,2596
428403,2617
419106,2625
396392,2626
419969,2670
404529,2701
424492,2730
428573,2740
427262,2776
417829,2799
396261,2805
396533,2806
386572,2885
425213,2922
419864,2979
416132,3035
422878,3064
420856,3096
396379,3157
416663,3163
395900,3211
395502,3213
771246,3236
416852,3242
416339,3308
424059,3329
396385,3394
395282,3397
395852,3398
395281,3399
424908,3556
395684,3572
426054,3575
404671,3593
424197,3623
396361,3624
396126,3625
373916,48
396384,3659
396115,3660
396383,3670
100857227,3673
420757,3680
419110,3698
415901,3699
395694,3706
416743,3707
395412,3708
419910,3710
423011,3712
776138,3714
395681,3716
424673,3725
429710,3728
395115,3741
100858067,3742
396369,3760
427983,3763
100857799,3766
427984,3772
421519,3775
428382,3777
374065,3778
426499,3837
417420,3838
418783,3843
408040,3866
395861,3880
418705,3899
418287,3902
396478,3912
373980,3913
424442,3915
396471,3950
374223,3953
427718,3976
395262,3977
418764,3981
373922,3984
396474,4015
419533,4017
396170,4035
415773,4037
423114,4041
419097,4040
100857869,4068
772378,4070
421292,4072
426299,4084
422675,4085
395518,7975
374226,4116
415611,4124
415588,4130
424001,4133
428594,4142
396505,4146
395954,4148
100858676,4149
396217,4155
427562,4157
422043,4172
423196,4192
395609,4193
419823,4194
427684,4232
100858555,4237
418042,4242
428925,4247
424286,4249
770916,4258
423521,4331
416648,4350
769765,4351
422197,4354
427318,4437
424725,4438
427573,4486
396484,4487
395245,4488
431261,4507
416467,4521
421213,4528
374179,3662
425359,4597
418099,4604
396258,4605
420420,4615
417873,4618
374004,4656
396020,4659
416634,4682
374246,4683
427379,4686
427897,4700
416391,4712
374122,4724
769492,4728
770196,4752
395822,4756
395754,4760
396207,4784
386574,4791
420796,4799
396466,4803
425805,4804
395531,4811
428549,4821
428431,10457
396204,4856
395433,4862
418967,4863
422078,4884
416438,4885
421833,4907
428099,4908
416551,4913
396337,4914
417501,4927
421326,4931
421937,4953
417213,4957
771001,4968
378803,4982
422162,4983
423089,5002
395190,5023
423134,5024
374166,5025
395507,5026
771952,5027
396275,5028
428108,5029
395457,5045
419765,5049
419083,5058
c(101750199, 395709),5064
417870,5074
428065,5100
396458,5105
373984,5111
771736,5129
429078,5132
421550,5134
424700,5142
424932,5147
395091,5148
425199,5150
415455,5151
770488,5159
418460,5174
417561,5176
421197,5194
100859376,5204
771904,5217
771832,5228
424691,5236
419980,5245
422181,5255
418624,5277
419848,5284
100857877,5289
429484,5324
100859766,5326
419175,5335
395669,5341
415487,5346
422401,5356
426794,5423
423567,5427
404292,5428
415635,5432
420103,5434
395521,5459
408044,5493
421404,5495
424844,5510
419523,5520
419933,5549
421785,5550
424519,5586
421478,23683
415549,5604
395802,5629
416521,5636
427967,5651
395874,5682
420772,5683
423542,5684
415357,5685
426937,5686
423326,5687
421551,5689
419630,5690
419997,5691
429986,5692
378915,5695
395804,5700
417716,5701
423182,5702
428274,5705
424926,5707
425294,5708
426133,5709
415869,5713
416853,5715
430878,5717
c(417425, 100859465),5718
422990,5719
420017,10197
396281,5744
418125,5764
395688,5770
424234,5775
415308,5780
395815,5781
417853,5787
386580,5788
374208,5793
395330,5795
420449,5799
771985,5801
396403,5803
396459,5816
100857875,5818
424487,5825
423976,5832
424636,5865
396086,5888
417528,5892
419867,5906
395209,5918
420366,5919
427327,5921
100859132,5924
419126,5933
424821,5947
415350,5955
395452,5959
395158,4771
396500,5966
420119,5976
422788,5981
418907,5983
424360,5996
378912,5997
395620,6000
395619,6002
424409,6004
770660,6014
424452,6045
395848,246243
423111,6050
422462,6059
395292,6091
396192,6098
417563,6117
769031,6182
416017,6184
419177,6185
395920,6239
417143,6256
426356,6280
396506,6281
c(426047, 427046),6294
395446,6299
420647,6304
416877,6311
395946,6335
417465,6352
421960,6382
374102,6383
100859720,6390
424364,6403
100310814,6415
395237,6422
420732,6424
423838,6425
422277,6451
422883,6452
418506,6453
396169,6480
395860,6489
424621,6491
415960,6529
416041,6533
395131,10568
423921,6571
395293,6585
374173,6586
396040,6595
769489,6598
430336,6604
423517,6617
395391,6620
417133,6621
395392,6623
415523,6627
426797,6643
424424,6646
422810,6649
395998,6653
425673,6668
420607,6671
424368,6675
395879,6688
374234,6709
421216,6711
420335,6713
770061,6728
423322,6729
419713,6734
395268,6741
420871,6745
425656,6746
428460,6769
428201,6781
415900,6787
421470,6801
404293,6812
426493,6829
423697,6832
417157,6834
100857640,6839
772081,6847
427272,6850
395782,6862
420573,6863
421931,6868
396490,6876
396298,6886
417048,6892
428567,6903
395995,6908
395146,6929
396014,4780
421697,6943
395510,6996
403089,7003
395982,7020
419631,339488
419327,7022
430233,7023
419261,10139
418534,7033
396191,7037
100857838,7038
414743,7039
421352,7042
396438,7043
396399,7048
374251,7049
414837,7058
418491,7074
374178,7077
415388,7082
424993,7095
423104,7106
421511,7107
396285,3930
374028,7122
421161,7135
396004,7150
374049,7164
419257,7165
428020,7174
395253,7182
374163,7184
424776,7220
421916,7260
423088,7262
420292,7264
416152,7265
418787,5611
418518,7267
395322,7080
421849,7272
395321,7287
101751037,7293
770387,7294
416137,7322
770961,7326
373930,7341
373896,7352
422792,7358
420942,7378
416013,7384
424685,7398
373938,7410
422355,7411
395909,7422
420519,7431
396323,7432
420453,7434
423443,7443
396189,7447
427373,7464
428953,7479
