GENEID_33169,GENEID_9606
4620254,28985
4622049,4482
4620166,54995
4619501,63929
4619767,25973
4622662,79711
4619479,10412
4621798,1355
4623113,60314
4623081,23020
4622074,2058
4622065,25821
4623201,60491
4621973,10985
4620198,54464
4619947,54516
4621660,29960
4621739,55341
4621724,9924
4621679,85365
4621672,80324
4621786,50814
4621785,221143
4619069,54974
4619077,84896
4619344,83451
4620754,83939
4618533,56915
4618442,60386
4618625,23481
4622292,79954
4618649,92935
4619563,54512
4619408,55250
4620100,84920
4620831,55153
4621336,25796
4622484,51004
4621928,55972
4623300,112858
4622605,57703
4622620,6836
4622232,54938
4618407,8659
4618601,51202
4618475,23404
4618462,57570
4623327,55191
4623328,51400
4623333,26019
4621305,5414
4621315,27304
4623312,51647
4620108,55272
4621369,51068
4621924,113419
4620595,51604
4619673,5524
4621438,81034
4620027,27042
4623361,79717
4620151,51700
4621227,55821
4620943,55737
4621560,115708
4621875,84340
4621884,284098
4620865,23517
4623290,51072
4619562,93183
4619412,8562
4619398,51074
4622186,1841
4622238,22948
4622242,5984
4622246,83475
4622253,10400
4621523,22908
4620935,23556
4619583,55739
4619577,171568
4619016,399512
4618981,112970
4619007,51118
4619092,51652
4619088,27247
4619706,255967
4619050,51154
4619040,27243
4618591,10059
4621872,64794
4621862,25972
4620716,55644
4623269,27095
4620473,84154
4622933,7511
4618455,25879
4618580,51119
4619751,25996
4619286,85476
4623058,64431
4621917,51611
4619550,23456
4619377,57017
4619733,6396
4622849,51184
4622844,23173
4621913,57143
4623241,9918
4623246,54606
4623247,51692
4623258,60558
4623261,8892
4619346,6175
4619334,56954
4621105,23395
4621111,55697
4621133,56931
4621138,11062
4621145,134430
4620767,128869
4618895,84274
4619880,54529
4621201,51290
4622286,51006
4621396,7374
4619109,7327
4619113,84705
4619136,83943
4619152,23246
4618987,9948
4618986,84135
4620500,83743
4619184,7779
4618901,55276
4623302,8886
4619197,55278
4620043,9896
4620051,84945
4620847,5985
4618832,134218
4618836,29101
4618842,79796
4618861,55781
4618883,65003
4621829,79752
4621841,51690
4623315,55226
4621553,1655
4621453,5422
4619439,138199
4621436,1737
4619978,79913
4620021,55695
4618725,64223
4618508,115286
4618710,55871
4622738,6183
4619174,29889
4620042,51010
4620075,54482
4620077,60487
4620356,5982
4620377,93587
4621297,445
4620692,124454
4621027,22894
4619532,29929
4623272,22803
4620468,79053
4621486,7991
4619447,22934
4619969,22800
4621324,83732
4619362,10229
4622209,56902
4623239,129642
4623256,29968
4619954,26155
4619956,55703
4619641,89874
4619645,23479
4619668,2356
4619670,54517
4618621,54707
4621411,54802
4622379,79031
4622140,51602
4620635,25885
4619554,27292
4621644,29880
4621664,9790
4621678,55253
4618800,51520
4619957,2968
4623174,55157
4619250,51067
4623162,23560
4623169,55140
4622713,55699
4618998,84172
4620215,3692
4619708,261726
4619925,27158
4619857,10907
4619154,84844
4620280,9904
4618505,10423
4618528,84245
4620283,51126
4618754,84315
4622317,201595
4621761,6878
4622398,10016
4620239,10101
4620084,25824
4622875,10598
4619397,23498
4621492,23597
4622748,25788
4619058,23541
4619011,10110
4620482,9785
4622081,23475
4620417,90701
4619543,5238
4618827,51013
4622949,22818
4621156,51028
4621703,51660
4621778,51343
4620607,51187
4621648,51260
4620360,51805
4622308,55586
4621256,54814
4621983,54888
4620790,55186
4619995,55233
4622062,55748
4621407,55759
4619252,55768
4621081,55299
4619471,54557
4618844,56897
4619338,57171
4622575,57721
4623341,118424
4621933,93973
4622962,83480
4618760,56997
4621818,79631
4619490,6897
4621566,6120
4622485,85313
4622961,57696
4619292,55432
4623044,284129
4621405,94097
4620044,9836
4623121,780776
4620615,4644
4618603,6241
4623189,400
4619847,586
4620404,1937
4621343,1964
4620982,1182
4620136,1459
4620808,3336
4620835,5214
4623360,7072
4621367,8850
4619974,10294
4621124,3417
4622042,10061
4618771,3276
4621019,5230
4621061,5902
4623095,9517
4618469,2272
4623083,50808
4619455,2710
4621022,55217
4622900,8034
4620159,374868
4622255,7317
4619460,23230
4618864,26063
4621554,51082
4622951,23223
4618823,54760
4621412,10015
4621026,55324
4619359,55204
4621751,4632
4621880,201562
4622395,79572
4621551,80777
4622989,123099
4619915,30849
4621840,139596
4621216,3156
4618419,31
4622692,7268
