GENEID_10181,GENEID_9606
101705404,5926
101716600,7260
101724286,10908
101707870,8100
101706108,56052
101704867,10061
101703677,54480
101722028,57554
101697170,2530
101704912,55236
101719954,9846
101718747,535
101709056,8554
101698790,9497
101725293,321
101718318,5606
101717799,79645
101710411,9168
101718909,25897
101724411,8504
101706208,11345
101705679,4653
101703830,26751
101724316,84908
101718198,7414
101704772,55789
101708121,23604
101706704,8439
101697507,159
101712972,26228
101707659,7077
101697246,5981
101713393,55773
101726360,8452
101706629,9172
101706852,5009
101708822,10858
101705476,26009
101703356,6570
101712304,9099
101725174,846
101715754,27175
101702013,2324
101714363,54888
101716264,54455
101723164,4238
101697881,84245
101699061,4234
101708222,3224
101721618,175
101700160,55300
101725647,259282
101724236,27430
101717981,7092
101702722,23644
101698077,7204
101710647,1462
101722045,23274
101712145,4481
101719565,999
101724541,23517
101697713,1767
101710406,79567
101719948,729
101716725,26064
101706675,11063
101712591,11284
101712395,54831
101699656,23035
101707996,54908
101724389,27067
101702760,54896
101721174,1497
101699081,65078
101711225,79142
101707219,1008
101718534,3631
101705828,5874
101701639,5685
101726054,55341
101725931,10039
101718559,3371
101698334,90326
101725464,140876
101712310,55775
101711394,84883
101720590,55812
101706308,9440
101708622,54884
101704172,822
101719710,1175
101700761,7399
101719426,7038
101702531,10863
101724266,8538
101725693,54165
101702240,23338
101724492,7546
101705208,3937
101715105,54802
101706546,153
101720311,2981
101721815,9820
101715878,1495
101713572,5256
101725728,54875
101721765,2042
101713339,3309
101696639,1829
101721613,54960
101722319,8481
101719255,2824
101706094,80243
101711568,22884
101726442,64848
101704664,56474
101710987,51606
101716957,5431
101726666,56204
101709490,116984
101706333,7175
101717103,1356
101705700,23247
101713330,84062
101709849,7504
101697854,57101
101723232,57102
101703375,55841
101699830,395
101711401,27146
101701198,57120
101725327,57646
101705971,9734
101707756,26262
101722057,57545
101718446,50484
101726443,168850
101720701,608
101720339,92017
101711514,55885
101704899,55173
101706235,2978
101715093,51773
101708864,55187
101700202,10659
101722075,23196
101697023,23518
101720556,1298
101697092,4254
101724861,1161
101715883,11174
101715539,9563
101725237,9341
101709352,8863
101708619,3604
101707527,55040
101715513,4052
101714291,5954
101697046,5982
101712535,57492
101708871,81037
101715398,23327
101722447,50943
101723844,89801
101713145,3074
101722330,79810
101722993,340533
101724592,51528
101712164,27122
101706564,7984
101715653,9603
101718201,63933
101699076,51474
101719809,25875
101713425,9498
101697108,10319
101715385,79931
101698286,5601
101709701,9564
101696838,84067
101703450,9709
101707378,9454
101715048,5888
101721523,10721
101715249,5291
101717043,1535
101717461,84321
101705508,23593
101721216,10198
101707691,54477
101713522,5652
101719626,80143
101725094,23223
101717184,57600
101719361,6307
101719038,55761
101715465,60529
101709902,23105
101716185,1112
101706283,728464
101701631,51154
101703238,4826
101722095,55850
101723991,23101
101709176,3909
101697870,55745
101699443,29945
101725681,3784
