10047_GENEID,9606_GENEID
110557697,7444
110555750,7133
110554928,55591
110566409,5452
110545365,65980
110552703,6642
110550423,9519
110554634,9774
110546597,55334
110547336,286
110562822,3381
110555674,51106
110564052,9135
110550746,23279
110543676,578
110561141,4593
110552780,22807
110551899,2896
110551104,51306
110555388,57514
110562312,55166
110545524,6301
110546253,8498
110551818,5926
110565740,7260
110565739,7260
110549748,8100
110548788,56052
110564813,55596
110564809,55596
110562865,10061
110562863,54480
110547766,2530
110565429,55236
110565430,55236
110547318,9846
110550886,535
110550529,8554
110566012,9497
110559924,321
110561677,5606
110564717,79645
110566228,9168
110557659,9168
110550179,28990
110545110,25897
110560343,8504
110554748,11345
110561011,4653
110561007,4653
110565836,26751
110565837,26751
110551998,7414
110546133,55789
110552706,23604
110566127,8439
110552493,159
110540071,26228
110550233,7077
110550662,5981
110565040,55773
110565039,55773
110552883,8452
110546637,9172
110541457,5009
110566352,10858
110556061,26009
110557633,6570
110548550,9099
110541014,846
110550879,27175
110547372,2324
110550387,54888
110543632,54455
110551756,4238
110545852,84245
110561704,4234
110552327,3224
110564608,175
110558707,55300
110549898,259282
110540041,27430
110540040,27430
110545824,23644
110550517,7204
110563037,1462
110555265,23274
110554369,4481
110545977,999
110558761,23517
110549644,23517
110545729,79567
110557743,729
110560436,26064
110557206,11063
110546779,11284
110546786,11284
110545855,54831
110546030,23035
110545439,54908
110557615,27067
110560499,54896
110559277,1497
110539354,65078
110555147,79142
110539927,1008
110545446,3631
110564104,5874
110552005,5685
110552516,55341
110550170,10039
110560898,10039
110563491,3371
110552736,90326
110548913,140876
110560669,55775
110555903,84883
110566159,55812
110547538,9440
110541198,54884
110541203,54884
110558898,822
110552651,1175
110562057,7038
110562215,10863
110554390,8538
110546350,54165
110549630,23338
110553088,7546
110545366,3937
110549955,54802
110545114,153
110547444,2981
110550336,9820
110554082,1495
110541678,5256
110563757,3309
110541800,1829
110551174,54960
110559953,8481
110559952,2824
110558818,80243
110541533,22884
110541535,22884
110564479,51606
110560329,5431
110541077,56204
110561576,116984
110562640,7175
110562638,7175
110549050,1356
110565310,23247
110545552,57102
110540636,55841
110561033,27146
110565770,4134
110558257,57120
110558256,6098
110546473,57646
110560772,9734
110549780,26262
110549504,57545
110556931,50484
110548916,168850
110558911,608
110558922,55885
110550246,55173
110550244,2978
110547313,51773
110555745,55187
110558052,10659
110549226,23196
110555415,23518
110549942,1298
110559281,4254
110546132,1161
110555936,11174
110565586,9563
110560425,9341
110560421,8863
110560426,10911
110560424,3604
110552070,55040
110564647,5954
110564649,5954
110554205,2006
110554196,5982
110555696,57492
110545359,81037
110546616,23327
110561916,50943
110561917,89801
110550017,3074
110552630,79810
110566818,340533
110553549,51528
110541162,27122
110565767,7984
110545166,9603
110544342,63933
110547427,51474
110561545,25875
110562110,9498
110559252,10319
110558246,79931
110557386,5601
110554744,9564
110566596,84067
110560952,9709
110560953,9709
110549175,9454
110550607,5888
110564335,10721
110548394,5291
110545249,1535
110554056,84321
110552908,23593
110558043,10198
110562263,54477
110564539,5652
110558453,80143
110556647,23223
110558593,57600
110549058,6307
110540557,55761
110554143,60529
110548785,23105
110563748,1112
110540203,51154
110563539,55850
110563600,83714
110563599,83714
110553478,3909
110562350,55745
110558702,29945
110546723,3784
110554188,27095
110554190,27095
110554163,9967
110554159,9967
110557001,29085
110557033,954
110549820,4065
110558134,51742
110561927,23596
110561925,23596
110560165,10806
110539330,5798
110553499,55733
110548134,23095
110556596,25771
110547756,23224
110547777,23224
110557051,57475
110547350,10079
110555958,140689
110562276,25884
110550783,23201
110550780,84957
110551253,2581
110559105,51602
110543321,26099
110562559,3757
110547501,8454
110551755,10827
110554045,26999
110540621,23118
110563617,116254
110563618,116254
110564194,5610
110564188,5610
110550238,57602
110564205,58508
110564208,58508
110558305,55283
110558070,23369
110556123,84545
110547577,3700
110547578,3697
110561330,54969
110546712,51663
110562905,10886
110545034,112885
110563759,7185
110560840,54542
110560839,54542
110547592,55540
110561018,10758
110564563,131566
110549518,6317
110563339,6646
110562071,5318
110552863,4438
110562516,2665
110546883,639
110546899,9474
110553459,57458
110545423,57095
110558145,57504
110556255,8975
110546194,3918
